"Old","New","When"
"GFE - 23613299 DMANCON1-20479 DT - Status indevido na conciliação Inventário Ativo Fixo quando conferido pelo APP Meus Ativos Fixos - Linha Datasul - TDN.pdf","23613299 DMANCON1-20479 DT - Status indevido na conciliação Inventário Ativo Fixo quando conferido pelo APP Meus Ativos Fixos - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 23877547 DMANCON1-20506 DT - Item SmartView vdBem_Docto_Faturam não localizado no menu - Linha Datasul - TDN.pdf","23877547 DMANCON1-20506 DT - Item SmartView vdBem_Docto_Faturam não localizado no menu - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 23877547 DMANCON1-20548 DT - Erro ao importar menu SmartVew Ativo Fixo - Linha Datasul - TDN.pdf","23877547 DMANCON1-20548 DT - Erro ao importar menu SmartVew Ativo Fixo - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 24000322 DMANCON1-20507 DT FAS351AA - Relatório Previsão de Depreciação com valor incorreto - Linha Datasul - TDN.pdf","24000322 DMANCON1-20507 DT FAS351AA - Relatório Previsão de Depreciação com valor incorreto - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 24057029 DMANCON1-20553 DT Erro 15800 - Inconsistência 22.205 - Linha Datasul - TDN.pdf","24057029 DMANCON1-20553 DT Erro 15800 - Inconsistência 22.205 - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 24180199 DMANACRTES1-17259 DT Os parâmetros de Contabilização não foram encontrados - Linha Datasul - TDN.pdf","24180199 DMANACRTES1-17259 DT Os parâmetros de Contabilização não foram encontrados - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 24600312 DMANCON1-20704 DT - FAS351AA - Ajuste cálculo percentual previsão de depreciação - Linha Datasul - TDN.pdf","24600312 DMANCON1-20704 DT - FAS351AA - Ajuste cálculo percentual previsão de depreciação - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 24622636 DMANACRTES1-17484 DT Não apresenta documento contendo caractere especial - Linha Datasul - TDN.pdf","24622636 DMANACRTES1-17484 DT Não apresenta documento contendo caractere especial - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 24838794 DMANCON1-20787 DT - FAS704AA - Erro &quot;val_perc_amort_acum is mandatory&quot; - Linha Datasul - TDN.pdf","24838794 DMANCON1-20787 DT - FAS704AA - Erro &quot;val_perc_amort_acum is mandatory&quot; - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - Caixa e Bancos - Inovação - 12.1.2503 - Linha Datasul - TDN.pdf","Caixa e Bancos - Inovação - 12.1.2503 - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - Contabilidade Fiscal - Inovação - 12.1.2503 - Linha Datasul - TDN.pdf","Contabilidade Fiscal - Inovação - 12.1.2503 - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - Contas a Pagar - Inovação - 12.1.2503 - Linha Datasul - TDN.pdf","Contas a Pagar - Inovação - 12.1.2503 - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - Contas a Receber - Inovação - 12.1.2503 - Linha Datasul - TDN.pdf","Contas a Receber - Inovação - 12.1.2503 - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DBACKRTDTS-1596 DT FAS - Documento de Entrada do Ativo Fixo - Linha Datasul - TDN.pdf","DBACKRTDTS-1596 DT FAS - Documento de Entrada do Ativo Fixo - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-13304 DT Evolução API Consulta liquidações títulos, Estorno de Renegociação, Importação de Ocorrência Bancária e Retorno de Movimento de comissões e Relacionamentos por.pdf","DMANACRTES1-13304 DT Evolução API Consulta liquidações títulos, Estorno de Renegociação, Importação de Ocorrência Bancária e Retorno de Movimento de comissões e Relacionamentos por.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-13306 DT Evolução das API de Alteração de Títulos (ACR711ZV) e Análise de Crédito (ACR777ZD_ACR777ZE) - Linha Datasul - TDN.pdf","DMANACRTES1-13306 DT Evolução das API de Alteração de Títulos (ACR711ZV) e Análise de Crédito (ACR777ZD_ACR777ZE) - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-13310 DT Evolução API Liquidação de Títulos e Renegociação de Títulos por Substituição - Linha Datasul - TDN.pdf","DMANACRTES1-13310 DT Evolução API Liquidação de Títulos e Renegociação de Títulos por Substituição - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-13316 DT Evolução API Importação de Movimentos no Fluxo de Caixa - Linha Datasul - TDN.pdf","DMANACRTES1-13316 DT Evolução API Importação de Movimentos no Fluxo de Caixa - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-13317 DT Evolução API Realiza Transferência e Mútuo, Importação de Movimentos no Caixa e Bancos e Eliminação de Movimentos Bancários - Linha Datasul - TDN.pdf","DMANACRTES1-13317 DT Evolução API Realiza Transferência e Mútuo, Importação de Movimentos no Caixa e Bancos e Eliminação de Movimentos Bancários - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-13573 DMANACRTES1-13574 DT Dashes Marketplace e Dashes Cartão de Crédito - Linha Datasul - TDN.pdf","DMANACRTES1-13573 DMANACRTES1-13574 DT Dashes Marketplace e Dashes Cartão de Crédito - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-15120 DT INTEGRAÇÃO GESPLAN x DATASUL(GFN Financing) - Linha Datasul - TDN.pdf","DMANACRTES1-15120 DT INTEGRAÇÃO GESPLAN x DATASUL(GFN Financing) - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-15120 Integração Gesplan x Datasul(GLE - LEASE) - Linha Datasul - TDN.pdf","DMANACRTES1-15120 Integração Gesplan x Datasul(GLE - LEASE) - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-15826 DT Revitalização integração RM Saúde x Datasul Criar API Rest TradingProcess - Linha Datasul - TDN.pdf","DMANACRTES1-15826 DT Revitalização integração RM Saúde x Datasul Criar API Rest TradingProcess - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-15955 DT Integração de devolução de clientes para títulos a receber com cobrança alterada de Normal para Especial Cartão de Crédito - Linha Datasul - TDN.pdf","DMANACRTES1-15955 DT Integração de devolução de clientes para títulos a receber com cobrança alterada de Normal para Especial Cartão de Crédito - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-15983 DT Gestor Financeiro - Linha Datasul - TDN.pdf","DMANACRTES1-15983 DT Gestor Financeiro - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-15983 DT Objeto de Negócio e Visão de Dados Aplicações Financeiras - Linha Datasul - TDN.pdf","DMANACRTES1-15983 DT Objeto de Negócio e Visão de Dados Aplicações Financeiras - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-15983 DT Objeto de Negócio e Visão de Dados Movimentos Fluxo Caixa - Linha Datasul - TDN.pdf","DMANACRTES1-15983 DT Objeto de Negócio e Visão de Dados Movimentos Fluxo Caixa - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-15983 DT Objeto de Negócio e Visão de Dados Parcelas Empréstimos - Linha Datasul - TDN.pdf","DMANACRTES1-15983 DT Objeto de Negócio e Visão de Dados Parcelas Empréstimos - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-15983 DT Objeto de Negócio e Visão de Dados Saldos das Contas Correntes - Linha Datasul - TDN.pdf","DMANACRTES1-15983 DT Objeto de Negócio e Visão de Dados Saldos das Contas Correntes - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-15983 DT Objeto de Negócio e Visão de Dados Títulos Contas a Receber - Linha Datasul - TDN.pdf","DMANACRTES1-15983 DT Objeto de Negócio e Visão de Dados Títulos Contas a Receber - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-16006 Integração Datasul com produto Gestão de Caixa e Tesouraria Gesplan - Linha Datasul - TDN.pdf","DMANACRTES1-16006 Integração Datasul com produto Gestão de Caixa e Tesouraria Gesplan - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-16543 DT Cálculo da Indenização Representante corrigido pelo indicador econômico INPC - Linha Datasul - TDN.pdf","DMANACRTES1-16543 DT Cálculo da Indenização Representante corrigido pelo indicador econômico INPC - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANACRTES1-16681 DT Gestor Financeiro Simulação Fluxo Caixa - Linha Datasul - TDN.pdf","DMANACRTES1-16681 DT Gestor Financeiro Simulação Fluxo Caixa - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANAPB1-11825 DT Apresentar informações TSS - Linha Datasul - TDN.pdf","DMANAPB1-11825 DT Apresentar informações TSS - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANAPB1-11891 Evolução das API´s de Antecipação e PEF pendente, Alteração de títulos e Cancelamento e Estorno de Títulos - Linha Datasul - TDN.pdf","DMANAPB1-11891 Evolução das API´s de Antecipação e PEF pendente, Alteração de títulos e Cancelamento e Estorno de Títulos - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANAPB1-11892 Evolução API Substituição de Nota Fiscal por Duplicata, Pagamento via Encontro de Contas, Pagamento de Títulos via Lote ou Borderô - Linha Datasul - TDN.pdf","DMANAPB1-11892 Evolução API Substituição de Nota Fiscal por Duplicata, Pagamento via Encontro de Contas, Pagamento de Títulos via Lote ou Borderô - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANAPB1-14521 _ DMANAPB1-14633 DT API Títulos do Mercado Eletrônico. - Linha Datasul - TDN.pdf","DMANAPB1-14521 _ DMANAPB1-14633 DT API Títulos do Mercado Eletrônico. - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANAPB1-14589 DT Smart View - Objeto de Negócio svElectronicMarketTitles - Títulos do Mercado Eletrônico. - Linha Datasul - TDN.pdf","DMANAPB1-14589 DT Smart View - Objeto de Negócio svElectronicMarketTitles - Títulos do Mercado Eletrônico. - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANAPB1-14589 DT Smart View Visão de Dados - Títulos do Mercado Eletrônico - Linha Datasul - TDN.pdf","DMANAPB1-14589 DT Smart View Visão de Dados - Títulos do Mercado Eletrônico - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANAPB1-14947 DT Central de Pagamento - REINF e eSocial - Linha Datasul - TDN.pdf","DMANAPB1-14947 DT Central de Pagamento - REINF e eSocial - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-17558 DT Validação inventário para conferência finalizada no app - Linha Datasul - TDN.pdf","DMANCON1-17558 DT Validação inventário para conferência finalizada no app - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-18440 DT Mercado Eletrônico - API Centro de Custo - Linha Datasul - TDN.pdf","DMANCON1-18440 DT Mercado Eletrônico - API Centro de Custo - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-18714 DT - Integração Recebimento x Ativo Fixo - Linha Datasul - TDN.pdf","DMANCON1-18714 DT - Integração Recebimento x Ativo Fixo - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-18852 DT Smart View - Objeto de Negócio Lista de Bens Patrimoniais do Ativo Fixo - Linha Datasul - TDN.pdf","DMANCON1-18852 DT Smart View - Objeto de Negócio Lista de Bens Patrimoniais do Ativo Fixo - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-18872 DT Smart View - Objeto Negócio Bens Patrimoniais com origem no Recebimento - Linha Datasul - TDN.pdf","DMANCON1-18872 DT Smart View - Objeto Negócio Bens Patrimoniais com origem no Recebimento - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-19017 DT Smart View - Objeto Negócio Movimentação Bens Patrimoniais - Linha Datasul - TDN.pdf","DMANCON1-19017 DT Smart View - Objeto Negócio Movimentação Bens Patrimoniais - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-19420 DT LF0226 - Versão do Layout - Linha Datasul - TDN.pdf","DMANCON1-19420 DT LF0226 - Versão do Layout - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-19443 DT Integração Faturamento x Ativo Fixo - Linha Datasul - TDN.pdf","DMANCON1-19443 DT Integração Faturamento x Ativo Fixo - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-19785 DT Validação para excluir inventário Ativo Fixo - Linha Datasul - TDN.pdf","DMANCON1-19785 DT Validação para excluir inventário Ativo Fixo - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-19980 DT Smart View - Objeto de Negócio Lista de Bens Patrimoniais do Ativo Fixo - Linha Datasul - TDN.pdf","DMANCON1-19980 DT Smart View - Objeto de Negócio Lista de Bens Patrimoniais do Ativo Fixo - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-20309 DT Conciliação Movimentos Empenhados - Linha Datasul - TDN.pdf","DMANCON1-20309 DT Conciliação Movimentos Empenhados - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-20533 DT FA730PA - Erro parâmetros na reclassificação de bens - Linha Datasul - TDN.pdf","DMANCON1-20533 DT FA730PA - Erro parâmetros na reclassificação de bens - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-20549 DT - Contabilização IFRS16 - Linha Datasul - TDN.pdf","DMANCON1-20549 DT - Contabilização IFRS16 - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-20552 _ DMANCON1-20608 DT Mercado Eletrônico - API Centro de Custo - Linha Datasul - TDN.pdf","DMANCON1-20552 _ DMANCON1-20608 DT Mercado Eletrônico - API Centro de Custo - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-20628 DT - Inclusão do inventário - Linha Datasul - TDN.pdf","DMANCON1-20628 DT - Inclusão do inventário - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DMANCON1-20713 DT Balancete Contábil - Inclusão de Zooms - Linha Datasul - TDN.pdf","DMANCON1-20713 DT Balancete Contábil - Inclusão de Zooms - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DT cBenef - ATO DIAT 35_2024 (NT2019.001 V1.64) - Linha Datasul - TDN.pdf","DT cBenef - ATO DIAT 35_2024 (NT2019.001 V1.64) - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - DT Smart View - Objeto Negócio DRE - Demonstração do Resultado do Exercício - Linha Datasul - TDN.pdf","DT Smart View - Objeto Negócio DRE - Demonstração do Resultado do Exercício - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - Fluxo de Caixa - Inovação - 12.1.2503 - Linha Datasul - TDN.pdf","Fluxo de Caixa - Inovação - 12.1.2503 - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
